feature,family,non_null_rows,missing_frac,n_unique,pearson_next_level,spearman_next_level,pearson_next_delta,spearman_next_delta,combined_score
cumulative_flight_count_rollmax_3,history,771,0.002587322121604174,125,-0.719418792480414,-0.7187944713706318,0.0015151215195975544,-0.030046119688562235,0.19373634026936842
cumulative_flight_count_rollmax_5,history,771,0.002587322121604174,125,-0.719418792480414,-0.7187944713706318,0.0015151215195975544,-0.030046119688562235,0.19373634026936842
cumulative_flight_count_lag1,history,771,0.002587322121604174,125,-0.719418792480414,-0.7187944713706318,0.0015151215195975544,-0.030046119688562235,0.19373634026936842
cumulative_flight_count_rollmax_21,history,771,0.002587322121604174,125,-0.719418792480414,-0.7187944713706318,0.0015151215195975544,-0.030046119688562235,0.19373634026936842
cumulative_flight_count_rollmean_5,history,771,0.002587322121604174,294,-0.7215479513440588,-0.7194800613067281,0.0012612233042643714,-0.029513004926943694,0.19373602353881908
cumulative_flight_count_rollmean_3,history,771,0.002587322121604174,267,-0.7204956113313125,-0.7191518732642019,0.0012629091050210136,-0.029790566517135793,0.19370696978697893
cumulative_flight_count_ewmmean_5,history,771,0.002587322121604174,360,-0.7215580534400327,-0.7207973363420073,0.0013077527095330347,-0.0288809053495483,0.193664139015461
cumulative_flight_count_rollmin_2,history,771,0.002587322121604174,125,-0.7204739929148598,-0.7189347736766966,0.001146419509720767,-0.02981001526907271,0.19364604806698943
cumulative_flight_count_rollmean_8,history,771,0.002587322121604174,318,-0.7231440052645646,-0.7198127491496671,0.001239721114129815,-0.028820375049781032,0.19362739800554693
cumulative_flight_count_ewmmean_3,history,771,0.002587322121604174,360,-0.7205037934411799,-0.7207973363420073,0.00133563429616905,-0.0288809053495483,0.19356707749156654
cumulative_flight_count_rollmean_2,history,771,0.002587322121604174,235,-0.7199619829603923,-0.7189881222402701,0.0013308176290142359,-0.029569953568125477,0.19355014102644047
latent_soh_filter_pct_lag8,history,757,0.02069857697283317,757,0.6960616561301913,0.714697885171055,-0.04270984239480267,-0.008156695688077826,0.19329431416675322
latent_soh_filter_pct_rollmean_21,history,771,0.002587322121604174,771,0.6947969719835156,0.7205399327895801,-0.03931991062967587,-0.007544348106630687,0.19275161695367515
latent_soh_filter_pct_diff1,history,771,0.002587322121604174,771,0.35102455755930523,0.36355607346152197,-0.07899970454319752,-0.1738577208475784,0.19157175251952835
latent_filter_delta_1,latent,771,0.002587322121604174,771,0.35102455755930523,0.36355607346152197,-0.07899970454319752,-0.1738577208475784,0.19157175251952835
latent_soh_filter_pct_rollmax_21,history,771,0.002587322121604174,438,0.68419536290496,0.7143743696244589,-0.03772182498222558,0.004797877885894806,0.1890512842774852
latent_soh_filter_pct_lag13,history,747,0.03363518758085382,747,0.649455010195498,0.6823349341080535,-0.028686634902365536,0.02146031980046314,0.18555887551667588
