group,feature,selected
multiscale_history,avg_cell_temp_span_c_rollmin_21,False
multiscale_history,avg_cell_temp_span_c_rollmax_21,False
multiscale_history,avg_cell_temp_span_c_rollslope_21,False
multiscale_history,avg_cell_temp_span_c_ewmmean_3,False
multiscale_history,avg_cell_temp_span_c_ewmstd_3,False
multiscale_history,avg_cell_temp_span_c_ewmmean_5,False
multiscale_history,avg_cell_temp_span_c_ewmstd_5,False
multiscale_history,avg_cell_temp_span_c_ewmmean_8,False
multiscale_history,avg_cell_temp_span_c_ewmstd_8,False
multiscale_history,avg_cell_temp_span_c_ewmmean_13,False
multiscale_history,avg_cell_temp_span_c_ewmstd_13,False
multiscale_history,soc_mean_pct_lag1,False
multiscale_history,soc_mean_pct_lag2,False
multiscale_history,soc_mean_pct_lag3,False
multiscale_history,soc_mean_pct_lag5,False
multiscale_history,soc_mean_pct_lag8,False
multiscale_history,soc_mean_pct_lag13,False
multiscale_history,soc_mean_pct_diff1,False
multiscale_history,soc_mean_pct_pct_change1,False
multiscale_history,soc_mean_pct_rate_per_day1,False
multiscale_history,soc_mean_pct_diff3,False
multiscale_history,soc_mean_pct_pct_change3,False
multiscale_history,soc_mean_pct_rate_per_day3,False
multiscale_history,soc_mean_pct_diff5,False
multiscale_history,soc_mean_pct_pct_change5,False
multiscale_history,soc_mean_pct_rate_per_day5,False
multiscale_history,soc_mean_pct_rollmean_2,False
multiscale_history,soc_mean_pct_rollstd_2,False
multiscale_history,soc_mean_pct_rollmin_2,False
multiscale_history,soc_mean_pct_rollmax_2,False
multiscale_history,soc_mean_pct_rollslope_2,False
multiscale_history,soc_mean_pct_rollmean_3,False
multiscale_history,soc_mean_pct_rollstd_3,False
multiscale_history,soc_mean_pct_rollmin_3,False
multiscale_history,soc_mean_pct_rollmax_3,False
multiscale_history,soc_mean_pct_rollslope_3,False
multiscale_history,soc_mean_pct_rollmean_5,False
multiscale_history,soc_mean_pct_rollstd_5,False
multiscale_history,soc_mean_pct_rollmin_5,False
multiscale_history,soc_mean_pct_rollmax_5,False
multiscale_history,soc_mean_pct_rollslope_5,False
multiscale_history,soc_mean_pct_rollmean_8,False
multiscale_history,soc_mean_pct_rollstd_8,False
multiscale_history,soc_mean_pct_rollmin_8,False
